AP_AIRSPEED_HOLD,Toggles airspeed hold mode
AP_AIRSPEED_OFF,Turns airspeed hold off
AP_AIRSPEED_ON,airspeed 
AP_ALT_HOLD,Toggles altitude hold mode
AP_ALT_HOLD_OFF,Turns off altitude hold mode
AP_ALT_HOLD_ON,Turns altitude hold mode on
AP_ALT_RADIO_MODE_OFF,Deactivate autopilot radio altitude mode.
AP_ALT_RADIO_MODE_ON,Activate autopilot radio altitude mode.
AP_ALT_RADIO_MODE_TOGGLE,Toggle autopilot radio altitude mode.
AP_APR_HOLD,Toggles approach hold (localizer and glide-slope)
AP_APR_HOLD_OFF,Turns off approach hold mode
AP_APR_HOLD_ON,Turns both AP localizer and glide-slope modes on/armed
AP_ATT_HOLD,Toggle attitude hold mode
AP_ATT_HOLD_OFF,Turns off attitude hold mode
AP_ATT_HOLD_ON,Turns on AP wing leveler and pitch hold mode
AP_BANK_HOLD,Toggles the autopilot bank hold mode on / off.
AP_BANK_HOLD_OFF,Turns off the autopilot bank hold mode.
AP_BANK_HOLD_ON,Turns on the autopilot bank hold mode.
AP_BC_HOLD,Toggles the backcourse mode for the localizer hold
AP_BC_HOLD_OFF,Turns off backcourse mode for localizer hold
AP_BC_HOLD_ON,Turns localizer back course hold mode on/armed
AP_HDG_HOLD,Toggles heading hold mode
AP_HDG_HOLD_OFF,Turns off heading hold mode
AP_HDG_HOLD_ON,Turns heading hold mode on
AP_LOC_HOLD,Toggles localizer (only) hold mode
AP_LOC_HOLD_OFF,Turns off localizer hold mode
AP_LOC_HOLD_ON,Turns AP localizer hold on/armed and glide-slope hold mode off
AP_MACH_HOLD,Toggles mach hold
AP_MACH_OFF,Turns mach hold off
AP_MACH_ON,Turns mach hold on
AP_MASTER,Toggles AP on/off
AP_N1_HOLD,Autopilot, hold the N1 percentage at its current level.
AP_NAV1_HOLD,Toggles the nav hold mode
AP_NAV1_HOLD_OFF,Turns off nav hold mode
AP_NAV1_HOLD_ON,Turns lateral hold mode on
AP_PITCH_LEVELER,Toggles the AP mode that maintains the pitch and sets the pitch reference to 0°.
AP_PITCH_LEVELER_OFF,Turns off the AP mode that maintains the pitch and sets the pitch reference to 0°.
AP_PITCH_LEVELER_ON,Turns on the AP mode that maintains the pitch and sets the pitch reference to 0°.
AP_VS_HOLD,Toggles the AP mode that maintains a vertical speed.
AP_VS_OFF,Turn off the AP mode that maintains a vertical speed.
AP_VS_ON,Turn on the AP mode that maintains a vertical speed.
AP_WING_LEVELER,Toggles wing leveler mode
AP_WING_LEVELER_OFF,Turns off wing leveler mode
AP_WING_LEVELER_ON,Turns wing leveler mode on
AUTOPILOT_DISENGAGE_TOGGLE,Toggle the status of the AP disengage value.
AUTOPILOT_OFF,Turns AP off
AUTOPILOT_ON,Turns AP on
FLIGHT_LEVEL_CHANGE,Toggles the autopilot FLC mode on or off. When on, the AP will adjust the engine power to try and fly the aircraft at a pitch attitude corresponding to the desired flight profile (climb or descent), while maintaining the airspeed reference.
FLIGHT_LEVEL_CHANGE_OFF,Turns off the autopilot FLC mode.
FLIGHT_LEVEL_CHANGE_ON,Turn on the autopilot FLC mode. This mode adjusts engine power to fly the aircraft at a pitch attitude corresponding to the desired flight profile (climb or descent), while maintaining the airspeed reference.



